Product,Category,Reference_Price,Source,Source_Location,Price_Date
LED Bulb A60 15W,Electrical,1880,PROV-ELEC Posadas,Posadas Misiones,2026-09
Screwdriver Flat 5.5mm Insulated,Tools,9025,PROV-ELEC Posadas,Posadas Misiones,2026-09
Screwdriver Flat 4mm Insulated,Tools,7400,PROV-ELEC Posadas,Posadas Misiones,2026-09
Screwdriver Flat 3mm Insulated,Tools,6855,PROV-ELEC Posadas,Posadas Misiones,2026-09
Screwdriver Phillips PH2 Insulated,Tools,10010,PROV-ELEC Posadas,Posadas Misiones,2026-09
Crimping Pliers HB-104,Electrical Tools,35400,PROV-ELEC Posadas,Posadas Misiones,2026-09
Automatic Wire Stripper HB-103,Electrical Tools,0,PROV-ELEC Posadas,Posadas Misiones,2026-09
Digital Clamp Meter,Electrical Tools,16945.23,Bulonera Posadas,Posadas Misiones,2026-09
Torx Key Set 10 pcs,Tools,19288.84,Bulonera Posadas,Posadas Misiones,2026-09
Bosch X-Line Drill Bit Set 34 pcs,Tools,43053,Bulonera Posadas,Posadas Misiones,2026-09
Tool Set 32 pcs,Tools,106460.25,Bulonera Posadas,Posadas Misiones,2026-09
Manual Riveter RM10,Tools,23197,Ferreteria Industrial Aguilar,Posadas Misiones,2026-09
Aluminum Ladder 3 Steps,Tools,0,Ferreteria Industrial Aguilar,Posadas Misiones,2026-09
Aluminum Ladder 4 Steps,Tools,62000,Ferreteria Industrial Aguilar,Posadas Misiones,2026-09
Tool Backpack MOCL-8,Tools,74150,Ferreteria Industrial Aguilar,Posadas Misiones,2026-09
Cargo Cart Tramontina,Tools,116000,Ferreteria Industrial Aguilar,Posadas Misiones,2026-09
Cross Wrench 18 inch,Automotive Tools,25805,Ferreteria Industrial Aguilar,Posadas Misiones,2026-09
